rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
607	CYP11B2	cytochrome P450, family 11, subfamily B, polypeptide 2	1467802	4	4	4	2	1	2	0	1	0	0	0.649	0.787	0.00924	0.125	0.0125	0.0471	1.000
608	SIDT2	SID1 transmembrane family, member 2	2441628	6	6	6	6	3	1	0	2	0	0	1.000	0.959	0.00452	0.673	0.00811	0.0472	1.000
609	FAM19A4	family with sequence similarity 19 (chemokine (C-C motif)-like), member A4	427788	2	2	2	0	0	1	0	0	1	0	0.0635	0.602	0.121	0.460	0.128	0.0472	1.000
610	VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	13095764	25	19	25	8	2	12	2	4	5	0	1.000	0.680	0.0246	0.0214	0.00814	0.0473	1.000
611	USP31	ubiquitin specific peptidase 31	3390555	6	5	6	3	2	2	2	0	0	0	1.000	0.878	0.00656	0.0792	0.00818	0.0475	1.000
612	CCDC155	coiled-coil domain containing 155	1630928	9	9	9	1	1	1	3	3	1	0	0.00819	0.267	0.935	0.981	1.000	0.0475	1.000
613	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2	4419112	14	13	14	2	1	7	1	1	4	0	0.0703	0.558	0.833	0.0264	0.117	0.0476	1.000
614	CRYGC	crystallin, gamma C	511500	4	3	4	1	1	1	0	0	2	0	0.0327	0.545	0.123	0.858	0.251	0.0477	1.000
615	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	1043682	4	4	4	2	2	0	0	2	0	0	0.535	0.805	0.0107	0.263	0.0154	0.0478	1.000
616	MAGEB4	melanoma antigen family B, 4	1016645	6	6	6	2	1	2	3	0	0	0	0.180	0.716	0.385	0.0136	0.0460	0.0480	1.000
617	RWDD2A	RWD domain containing 2A	859000	2	2	2	0	0	0	0	2	0	0	0.293	0.611	0.359	0.0427	0.0284	0.0482	1.000
618	ETV5	ets variant gene 5 (ets-related molecule)	1525552	8	8	8	0	2	3	0	2	1	0	0.00832	0.129	0.864	0.932	1.000	0.0482	1.000
619	LOXHD1	lipoxygenase homology domains 1	5834636	13	13	13	3	5	4	3	1	0	0	0.856	0.323	0.0307	0.0396	0.00973	0.0482	1.000
620	MYF5	myogenic factor 5	703521	4	4	4	0	1	0	1	2	0	0	0.130	0.355	0.0490	0.322	0.0644	0.0485	1.000
621	CHSY1	chondroitin sulfate synthase 1	2028986	3	3	3	1	1	0	0	2	0	0	0.705	0.803	0.00863	0.158	0.0119	0.0485	1.000
622	CASC4	cancer susceptibility candidate 4	1209181	6	6	6	0	0	1	1	4	0	0	0.0120	0.261	0.556	0.690	0.697	0.0485	1.000
623	IL12RB2	interleukin 12 receptor, beta 2	2577600	4	4	4	0	0	3	0	0	1	0	0.735	0.471	0.298	0.00521	0.0114	0.0486	1.000
624	CD47	CD47 molecule	941161	2	2	2	1	1	1	0	0	0	0	0.669	0.819	0.0597	0.0198	0.0126	0.0486	1.000
625	ROR1	receptor tyrosine kinase-like orphan receptor 1	2693296	9	9	9	1	4	1	0	2	2	0	0.0189	0.258	0.277	0.538	0.445	0.0487	1.000
626	SPINT1	serine peptidase inhibitor, Kunitz type 1	1284437	3	3	3	1	0	2	0	1	0	0	0.524	0.761	0.00447	0.267	0.0161	0.0488	1.000
627	MYCT1	myc target 1	697458	5	4	5	0	0	3	0	1	1	0	0.0226	0.340	0.158	0.626	0.374	0.0488	1.000
628	GALNT13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13)	1668875	6	6	6	0	0	2	0	2	1	1	0.0897	0.240	0.0450	0.359	0.0946	0.0490	1.000
629	ZNF705G	zinc finger protein 705G	681702	2	4	4	1	0	0	1	0	1	0	0.0669	0.913	0.0374	0.960	0.127	0.0490	1.000
630	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	2566955	7	7	7	1	0	1	1	4	1	0	0.239	0.500	0.0198	0.232	0.0355	0.0490	1.000
631	GFAP	glial fibrillary acidic protein	1281457	3	3	3	1	0	1	0	2	0	0	0.497	0.832	0.0597	0.0227	0.0171	0.0490	1.000
632	CGNL1	cingulin-like 1	3730316	5	5	5	4	0	2	1	0	2	0	0.983	0.983	0.00305	0.913	0.00865	0.0490	1.000
633	PPA1	pyrophosphatase (inorganic) 1	839715	4	4	4	0	1	1	2	0	0	0	0.0432	0.423	0.317	0.0586	0.197	0.0491	1.000
634	PUM2	pumilio homolog 2 (Drosophila)	3189134	6	6	6	1	1	2	2	1	0	0	0.407	0.709	0.185	0.00787	0.0210	0.0492	1.000
635	HOXB13	homeobox B13	732239	3	3	3	0	1	0	0	1	1	0	0.118	0.434	0.103	0.140	0.0721	0.0492	1.000
636	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	3711425	8	8	8	1	1	4	0	1	2	0	0.153	0.456	0.346	0.0189	0.0562	0.0495	1.000
637	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	1187708	7	7	7	0	0	4	1	1	1	0	0.0285	0.176	0.184	0.927	0.301	0.0495	1.000
638	MED20	mediator complex subunit 20	637672	2	2	2	0	0	0	1	0	1	0	0.197	0.598	0.117	0.0219	0.0437	0.0495	1.000
639	SETDB1	SET domain, bifurcated 1	3861705	11	11	10	1	1	6	1	2	1	0	0.134	0.291	0.0376	0.446	0.0643	0.0496	1.000
640	FHOD3	formin homology 2 domain containing 3	3948754	14	13	14	1	3	1	1	6	3	0	0.0434	0.141	0.105	0.862	0.200	0.0498	1.000
641	TSPYL2	TSPY-like 2	1735715	5	5	5	1	1	2	1	1	0	0	0.315	0.637	0.365	0.00732	0.0275	0.0499	1.000
642	CDH12	cadherin 12, type 2 (N-cadherin 2)	2368914	10	10	10	1	1	5	2	0	2	0	0.0115	0.285	0.513	0.823	0.753	0.0499	1.000
643	VPS37A	vacuolar protein sorting 37 homolog A (S. cerevisiae)	1124661	2	2	2	0	0	0	1	0	1	0	0.485	0.742	0.533	0.00335	0.0180	0.0501	1.000
644	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	660218	3	3	3	0	0	1	1	0	1	0	0.110	0.460	0.0871	0.0808	0.0795	0.0503	1.000
645	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	2067262	8	8	8	0	1	2	3	1	1	0	0.0385	0.0686	0.123	0.628	0.228	0.0503	1.000
646	KRTAP19-7	keratin associated protein 19-7	190473	1	1	1	0	0	0	0	0	1	0	0.0503	1.000	NaN	NaN	NaN	0.0503	1.000
647	TEC	tec protein tyrosine kinase	1914504	6	6	6	1	0	1	2	1	2	0	0.130	0.653	0.0347	0.717	0.0678	0.0504	1.000
648	ACSF3	acyl-CoA synthetase family member 3	1309696	5	5	5	0	2	0	0	1	2	0	0.0591	0.338	0.144	0.113	0.149	0.0505	1.000
649	TRA2A	transformer 2 alpha homolog (Drosophila)	857310	3	3	3	0	1	1	0	0	1	0	0.206	0.766	0.0346	0.471	0.0430	0.0507	1.000
650	KLHL14	kelch-like 14 (Drosophila)	1542288	5	5	5	3	0	1	2	1	1	0	0.894	0.910	0.00863	0.0709	0.00991	0.0508	1.000
651	FBXO44	F-box protein 44	713151	3	3	3	0	0	1	0	0	2	0	0.0626	0.616	0.135	0.263	0.143	0.0511	1.000
652	LINGO1	leucine rich repeat and Ig domain containing 1	1479101	8	6	8	0	2	2	1	2	1	0	0.124	0.0820	0.0396	0.359	0.0728	0.0515	1.000
653	B2M	beta-2-microglobulin	362614	3	3	3	0	1	1	0	1	0	0	0.0117	0.486	0.728	0.380	0.774	0.0516	1.000
654	SLC17A6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	1720621	5	5	5	1	0	2	1	2	0	0	0.0658	0.635	0.152	0.422	0.138	0.0519	1.000
655	LYSMD1	LysM, putative peptidoglycan-binding, domain containing 1	711278	3	3	2	0	0	2	1	0	0	0	0.0515	0.410	0.414	0.170	0.177	0.0519	1.000
656	SRPX2	sushi-repeat-containing protein, X-linked 2	1390926	4	4	3	0	3	0	0	0	1	0	0.188	0.533	0.0410	0.0832	0.0485	0.0519	1.000
657	UNC45A	unc-45 homolog A (C. elegans)	2575331	4	4	4	2	2	0	1	1	0	0	0.880	0.804	0.00775	0.400	0.0103	0.0519	1.000
658	GLT8D1	glycosyltransferase 8 domain containing 1	1124185	6	6	6	1	2	1	1	1	1	0	0.00911	0.633	0.732	0.636	1.000	0.0519	1.000
659	PGK1	phosphoglycerate kinase 1	1267191	7	7	7	1	0	3	2	1	1	0	0.0126	0.401	0.556	0.573	0.722	0.0520	1.000
660	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	1297486	5	5	5	0	1	1	1	1	1	0	0.0545	0.301	0.111	0.910	0.168	0.0520	1.000
661	SMAD9	SMAD family member 9	1328502	4	4	4	0	3	0	1	0	0	0	0.123	0.271	0.121	0.101	0.0744	0.0521	1.000
662	TEAD4	TEA domain family member 4	1253332	5	5	5	0	0	1	2	2	0	0	0.146	0.286	0.215	0.0381	0.0628	0.0521	1.000
663	RNF113A	ring finger protein 113A	1005972	6	6	6	2	2	2	0	2	0	0	0.195	0.710	0.0270	0.442	0.0470	0.0522	1.000
664	TIAF1	TGFB1-induced anti-apoptotic factor 1	338615	2	2	2	0	0	1	0	0	1	0	0.0522	0.604	NaN	NaN	NaN	0.0522	1.000
665	IMMP2L	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	534739	2	2	2	0	0	0	2	0	0	0	0.101	0.655	0.264	0.181	0.0912	0.0522	1.000
666	ACOT11	acyl-CoA thioesterase 11	1790482	3	3	3	1	2	0	0	1	0	0	0.574	0.754	0.0118	0.338	0.0160	0.0522	1.000
667	CCDC23	coiled-coil domain containing 23	204193	2	2	2	0	0	0	0	1	1	0	0.00918	0.806	0.286	0.229	1.000	0.0523	1.000
668	BLK	B lymphoid tyrosine kinase	1235427	6	6	6	0	1	1	0	1	3	0	0.0122	0.398	0.756	0.479	0.751	0.0523	1.000
669	RPL13A	ribosomal protein L13a	500571	4	4	4	0	1	0	3	0	0	0	0.00922	0.267	0.925	0.877	1.000	0.0524	1.000
670	ARMCX1	armadillo repeat containing, X-linked 1	1317513	8	7	8	0	2	2	2	0	2	0	0.0103	0.187	0.976	0.380	0.894	0.0524	1.000
671	PHF19	PHD finger protein 19	1774307	3	3	3	2	2	0	0	1	0	0	0.928	0.917	0.0458	0.00968	0.00996	0.0525	1.000
672	ANKDD1A	ankyrin repeat and death domain containing 1A	1404788	3	3	3	0	0	0	1	1	1	0	0.486	0.614	0.0680	0.0164	0.0191	0.0526	1.000
673	FASTKD2	FAST kinase domains 2	2120785	6	6	6	1	0	4	2	0	0	0	0.0902	0.629	0.377	0.0324	0.103	0.0527	1.000
674	RERE	arginine-glutamic acid dipeptide (RE) repeats	3443096	12	11	11	1	2	3	1	5	1	0	0.118	0.181	0.0477	0.550	0.0785	0.0528	1.000
675	GBP7	guanylate binding protein 7	1911161	8	8	8	0	0	3	2	3	0	0	0.0393	0.144	0.346	0.128	0.237	0.0528	1.000
676	TWIST1	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	246515	2	2	2	0	0	0	1	0	1	0	0.106	0.469	0.916	0.0377	0.0881	0.0529	1.000
677	P2RX2	purinergic receptor P2X, ligand-gated ion channel, 2	961355	3	3	3	0	0	2	0	1	0	0	0.203	0.399	0.0150	0.826	0.0459	0.0529	1.000
678	SLC12A5	solute carrier family 12, (potassium-chloride transporter) member 5	3248622	14	13	14	2	1	6	4	3	0	0	0.0168	0.118	0.778	0.150	0.554	0.0529	1.000
679	LARP7	La ribonucleoprotein domain family, member 7	1733899	6	6	6	1	0	2	1	1	2	0	0.0292	0.828	0.435	0.142	0.320	0.0529	1.000
680	CTR9	Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	3522144	3	3	3	2	0	1	2	0	0	0	1.000	0.964	0.00819	0.280	0.00933	0.0530	1.000
681	ZNF345	zinc finger protein 345	1428632	2	2	2	0	0	2	0	0	0	0	0.644	0.723	0.0329	0.0609	0.0145	0.0531	1.000
682	CAPN2	calpain 2, (m/II) large subunit	1907801	8	7	8	1	2	1	2	1	2	0	0.0714	0.360	0.631	0.0297	0.131	0.0532	1.000
683	PCSK5	proprotein convertase subtilisin/kexin type 5	2629307	12	11	12	1	1	6	2	2	1	0	0.0185	0.201	0.352	0.470	0.508	0.0532	1.000
684	SUZ12	suppressor of zeste 12 homolog (Drosophila)	1880782	7	7	7	1	0	5	0	1	1	0	0.0309	0.700	0.361	0.123	0.304	0.0532	1.000
685	ZNF841	zinc finger protein 841	2691634	8	8	8	0	2	1	1	3	1	0	0.0361	0.142	0.128	0.591	0.261	0.0533	1.000
686	LHCGR	luteinizing hormone/choriogonadotropin receptor	1930374	10	10	10	1	1	3	1	4	1	0	0.0125	0.213	0.499	0.553	0.755	0.0535	1.000
687	PTCH1	patched homolog 1 (Drosophila)	4023887	11	11	11	3	7	2	0	1	1	0	0.754	0.363	0.00976	0.110	0.0125	0.0535	1.000
688	SYNC	syncoilin, intermediate filament protein	1326160	3	3	3	1	1	1	0	1	0	0	0.270	0.789	0.871	0.0148	0.0352	0.0536	1.000
689	RFX1	regulatory factor X, 1 (influences HLA class II expression)	1609136	6	6	6	0	2	0	1	1	2	0	0.0916	0.173	0.291	0.0536	0.104	0.0538	1.000
690	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing 1	1004896	5	5	5	0	0	4	0	0	1	0	0.0417	0.507	0.841	0.0634	0.228	0.0538	1.000
691	NAMPT	nicotinamide phosphoribosyltransferase	1459414	5	5	5	0	1	1	0	1	2	0	0.0339	0.242	0.492	0.0458	0.281	0.0539	1.000
692	F12	coagulation factor XII (Hageman factor)	994431	2	2	2	0	1	0	0	0	1	0	0.478	0.479	0.783	0.00193	0.0200	0.0540	1.000
693	TTC32	tetratricopeptide repeat domain 32	455069	3	3	3	0	0	1	0	0	2	0	0.0393	0.612	0.121	0.904	0.243	0.0540	1.000
694	EIF2B2	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	1004710	2	2	2	1	1	0	0	0	1	0	0.366	0.877	0.0591	0.0547	0.0261	0.0540	1.000
695	ZNF415	zinc finger protein 415	1658084	5	5	5	2	0	2	1	0	2	0	0.611	0.863	0.00687	0.467	0.0157	0.0543	1.000
696	NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	331285	3	3	3	0	1	1	1	0	0	0	0.0178	0.641	0.339	0.861	0.541	0.0544	1.000
697	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	4647606	15	13	15	1	0	7	1	4	3	0	0.0905	0.148	0.0984	0.267	0.107	0.0544	1.000
698	ANKRD22	ankyrin repeat domain 22	585418	3	3	2	0	0	0	1	2	0	0	0.0198	0.511	0.400	0.648	0.487	0.0545	1.000
699	SCML1	sex comb on midleg-like 1 (Drosophila)	994209	5	5	5	1	0	1	2	0	2	0	0.0265	0.765	0.201	0.991	0.366	0.0547	1.000
700	MRPL20	mitochondrial ribosomal protein L20	390942	3	3	3	0	0	0	1	1	1	0	0.0264	0.374	0.193	0.801	0.368	0.0548	1.000
701	TSEN2	tRNA splicing endonuclease 2 homolog (S. cerevisiae)	1442789	4	4	4	0	0	1	1	2	0	0	0.120	0.387	0.414	0.0428	0.0813	0.0548	1.000
702	SLC27A4	solute carrier family 27 (fatty acid transporter), member 4	1636990	5	5	5	1	0	0	2	1	2	0	0.107	0.638	0.0945	0.0907	0.0919	0.0551	1.000
703	KRTAP19-2	keratin associated protein 19-2	157297	1	1	1	0	0	0	0	1	0	0	0.0551	0.799	NaN	NaN	NaN	0.0551	1.000
704	VPRBP	Vpr (HIV-1) binding protein	4333008	8	8	8	1	0	1	2	3	2	0	0.412	0.387	0.0761	0.0157	0.0238	0.0552	1.000
705	POMT2	protein-O-mannosyltransferase 2	1950189	5	5	5	1	0	2	1	1	1	0	0.123	0.376	0.0833	0.188	0.0801	0.0553	1.000
706	TMCC3	transmembrane and coiled-coil domain family 3	1332474	8	8	8	0	0	3	3	1	1	0	0.00984	0.123	0.891	0.549	1.000	0.0553	1.000
707	AMZ2	archaelysin family metallopeptidase 2	1079863	3	3	3	1	0	1	0	2	0	0	0.244	0.814	0.383	0.0184	0.0404	0.0553	1.000
708	KCNH4	potassium voltage-gated channel, subfamily H (eag-related), member 4	2744770	3	3	3	1	2	0	0	0	1	0	0.843	0.672	0.00918	0.160	0.0117	0.0556	1.000
709	PTH2	parathyroid hormone 2	97669	1	1	1	0	0	0	0	0	1	0	0.0556	1.000	NaN	NaN	NaN	0.0556	1.000
710	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	2911628	5	5	5	3	0	1	1	3	0	0	1.000	0.950	0.0194	0.0631	0.00992	0.0557	1.000
711	LIMK1	LIM domain kinase 1	1745108	7	7	6	1	0	0	3	0	4	0	0.0480	0.565	0.303	0.147	0.207	0.0558	1.000
712	CD300A	CD300a molecule	887584	4	4	4	0	0	1	1	2	0	0	0.0499	0.357	0.0899	0.763	0.199	0.0559	1.000
713	ACTB	actin, beta	978359	5	5	5	1	3	0	0	0	2	0	0.0404	0.567	0.207	0.167	0.249	0.0563	1.000
714	PSG2	pregnancy specific beta-1-glycoprotein 2	1003930	5	5	5	0	0	1	2	1	1	0	0.0702	0.271	0.747	0.0340	0.143	0.0564	1.000
715	MUM1L1	melanoma associated antigen (mutated) 1-like 1	1886825	7	7	7	0	0	2	1	2	2	0	0.0101	0.269	0.608	0.821	1.000	0.0565	1.000
716	SCN7A	sodium channel, voltage-gated, type VII, alpha	4882502	18	17	18	2	4	4	3	3	4	0	0.0139	0.208	0.575	0.967	0.730	0.0566	1.000
717	TCEAL3	transcription elongation factor A (SII)-like 3	592931	4	4	4	0	0	1	1	1	1	0	0.0473	0.557	0.198	0.286	0.214	0.0566	1.000
718	HTR1F	5-hydroxytryptamine (serotonin) receptor 1F	1073683	4	4	4	0	0	0	2	1	1	0	0.0753	0.495	0.0439	0.720	0.135	0.0567	1.000
719	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	2380206	8	8	8	1	3	2	0	2	1	0	0.0642	0.381	0.211	0.102	0.158	0.0567	1.000
720	ELMO1	engulfment and cell motility 1	2214495	10	9	10	1	3	1	2	2	2	0	0.0314	0.180	0.206	0.739	0.323	0.0567	1.000
721	LGR6	leucine-rich repeat-containing G protein-coupled receptor 6	2763486	4	3	4	3	0	0	1	3	0	0	1.000	0.954	0.00752	0.252	0.0102	0.0570	1.000
722	TTC16	tetratricopeptide repeat domain 16	1934999	2	2	2	0	1	0	1	0	0	0	0.802	0.520	0.171	0.00680	0.0127	0.0571	1.000
723	PFDN6	prefoldin subunit 6	390605	2	2	2	1	0	1	0	1	0	0	0.0487	0.877	0.338	0.0553	0.210	0.0571	1.000
724	PRSS53	protease, serine, 53	1314477	4	4	4	1	1	1	0	0	2	0	0.0721	0.826	0.0660	0.524	0.142	0.0572	1.000
725	ZNF443	zinc finger protein 443	1982753	4	4	4	0	0	2	0	2	0	0	0.488	0.445	0.159	0.0130	0.0210	0.0572	1.000
726	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	1478324	6	6	6	1	1	2	2	1	0	0	0.0328	0.420	0.198	0.597	0.321	0.0585	1.000
727	RNF41	ring finger protein 41	944733	3	3	3	2	2	0	0	0	1	0	0.624	0.913	0.896	0.00647	0.0169	0.0586	1.000
728	SAMD8	sterile alpha motif domain containing 8	1041332	3	3	3	0	0	2	0	1	0	0	0.259	0.449	0.0297	0.0968	0.0408	0.0586	1.000
729	HMHA1	histocompatibility (minor) HA-1	1385828	8	8	8	2	1	1	2	1	3	0	0.0186	0.711	0.324	0.650	0.567	0.0586	1.000
730	NIPAL4	NIPA-like domain containing 4	1135010	3	3	3	1	0	0	2	1	0	0	0.239	0.802	0.0363	0.168	0.0445	0.0589	1.000
731	EMILIN2	elastin microfibril interfacer 2	2612666	6	6	6	1	3	1	2	0	0	0	0.249	0.395	0.714	0.00711	0.0428	0.0589	1.000
732	ALDH1L2	aldehyde dehydrogenase 1 family, member L2	2745380	10	10	10	1	1	4	1	1	3	0	0.0137	0.306	0.985	0.366	0.781	0.0592	1.000
733	CRX	cone-rod homeobox	809207	3	3	3	0	1	0	2	0	0	0	0.169	0.318	0.0271	0.207	0.0631	0.0592	1.000
734	THNSL1	threonine synthase-like 1 (S. cerevisiae)	2180550	6	6	6	1	0	2	1	2	1	0	0.0944	0.635	0.0819	0.148	0.113	0.0592	1.000
735	KRTAP5-4	keratin associated protein 5-4	651509	2	2	2	0	1	0	1	0	0	0	0.0917	0.354	0.441	0.0984	0.117	0.0594	1.000
736	MYH9	myosin, heavy chain 9, non-muscle	5471590	21	19	20	5	6	2	1	1	11	0	0.330	0.514	0.0132	0.753	0.0326	0.0594	1.000
737	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	1395555	7	7	7	1	0	4	1	2	0	0	0.0108	0.521	0.991	0.651	1.000	0.0595	1.000
738	CCDC74B	coiled-coil domain containing 74B	898022	4	4	4	1	0	0	2	2	0	0	0.0182	0.679	0.348	0.871	0.593	0.0596	1.000
739	SPANXN2	SPANX family, member N2	537242	3	3	3	1	0	1	0	2	0	0	0.0542	0.907	0.116	0.312	0.199	0.0597	1.000
740	ALG5	asparagine-linked glycosylation 5 homolog (S. cerevisiae, dolichyl-phosphate beta-glucosyltransferase)	925747	5	5	5	0	0	3	1	1	0	0	0.0499	0.358	0.109	0.914	0.218	0.0600	1.000
741	MKL1	megakaryoblastic leukemia (translocation) 1	2136131	3	3	3	1	2	0	0	0	1	0	0.680	0.624	0.109	0.00280	0.0160	0.0601	1.000
742	KLHL23	kelch-like 23 (Drosophila)	1612200	4	4	4	1	1	0	1	2	0	0	0.179	0.679	0.0360	0.586	0.0614	0.0604	1.000
743	RAP1A	RAP1A, member of RAS oncogene family	564687	2	2	2	0	0	1	0	0	1	0	0.286	0.690	0.0320	0.965	0.0383	0.0604	1.000
744	FAM120C	family with sequence similarity 120C	2641941	8	7	8	1	1	5	0	1	0	1	0.110	0.376	0.0519	0.152	0.0993	0.0604	1.000
745	CD3G	CD3g molecule, gamma (CD3-TCR complex)	550910	3	3	3	0	0	1	1	0	1	0	0.0313	0.594	0.231	0.749	0.351	0.0605	1.000
746	TWSG1	twisted gastrulation homolog 1 (Drosophila)	671869	2	2	2	0	0	1	0	1	0	0	0.271	0.626	0.473	0.0616	0.0406	0.0605	1.000
747	IFNA21	interferon, alpha 21	560518	4	4	4	0	0	2	0	2	0	0	0.0110	0.367	0.893	0.940	1.000	0.0606	1.000
748	NCCRP1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)	452876	2	2	2	0	0	0	0	1	1	0	0.0830	0.639	0.894	0.0619	0.133	0.0607	1.000
749	BAI1	brain-specific angiogenesis inhibitor 1	2518145	10	10	9	0	5	1	0	2	2	0	0.0207	0.0940	0.270	0.800	0.534	0.0607	1.000
750	DHX58	DEXH (Asp-Glu-X-His) box polypeptide 58	1890086	4	4	4	1	2	0	0	2	0	0	0.406	0.698	0.0932	0.0254	0.0272	0.0608	1.000
751	SCGB2A1	secretoglobin, family 2A, member 1	291055	2	2	2	1	0	2	0	0	0	0	0.0140	0.704	0.607	0.210	0.789	0.0609	1.000
752	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	5154945	19	16	19	0	2	4	3	5	5	0	0.0202	0.0170	0.361	0.868	0.548	0.0610	1.000
753	ABT1	activator of basal transcription 1	691017	4	4	4	0	0	1	2	0	1	0	0.0219	0.357	0.502	0.162	0.507	0.0610	1.000
754	PLCL2	phospholipase C-like 2	2987821	10	10	10	1	1	2	1	3	2	1	0.0111	0.351	0.784	0.886	1.000	0.0611	1.000
755	PHLDA1	pleckstrin homology-like domain, family A, member 1	675853	4	4	4	0	1	1	1	1	0	0	0.0375	0.290	0.966	0.174	0.297	0.0612	1.000
756	ARID4B	AT rich interactive domain 4B (RBP1-like)	3930848	12	12	12	0	1	4	0	3	4	0	0.0243	0.160	0.284	0.623	0.458	0.0613	1.000
757	PNMAL1	PNMA-like 1	1285975	7	6	7	0	2	0	1	2	2	0	0.0169	0.174	0.564	0.551	0.662	0.0615	1.000
758	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	1391196	5	5	4	1	0	1	0	2	2	0	0.0290	0.823	0.251	0.965	0.387	0.0616	1.000
759	DUSP27	dual specificity phosphatase 27 (putative)	3300896	10	9	10	2	2	3	3	2	0	0	0.381	0.415	0.938	0.00398	0.0295	0.0616	1.000
760	PHLDB3	pleckstrin homology-like domain, family B, member 3	1642703	5	5	5	2	2	1	1	0	1	0	0.506	0.826	0.0209	0.316	0.0222	0.0617	1.000
761	PGA5	pepsinogen 5, group I (pepsinogen A)	535482	4	4	4	0	0	0	3	1	0	0	0.0309	0.363	0.220	0.422	0.365	0.0618	1.000
762	TMEM179	transmembrane protein 179	290067	2	2	2	0	1	0	1	0	0	0	0.0621	0.480	NaN	NaN	NaN	0.0621	1.000
763	PILRB	paired immunoglobin-like type 2 receptor beta	679748	4	4	4	1	0	0	0	2	2	0	0.0227	0.926	0.346	0.877	0.501	0.0622	1.000
764	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)	1271232	5	5	5	0	1	1	1	1	1	0	0.0554	0.262	0.366	0.0759	0.205	0.0622	1.000
765	TBX18	T-box 18	1451729	5	5	5	2	1	2	1	1	0	0	0.557	0.737	0.0575	0.0167	0.0205	0.0624	1.000
766	LELP1	late cornified envelope-like proline-rich 1	293609	3	3	3	1	1	0	1	1	0	0	0.0114	0.761	0.993	0.703	1.000	0.0624	1.000
767	KCNU1	potassium channel, subfamily U, member 1	3460543	11	11	11	0	0	7	1	3	0	0	0.0208	0.0636	0.863	0.188	0.548	0.0624	1.000
768	KRTAP23-1	keratin associated protein 23-1	197351	1	1	1	0	0	0	1	0	0	0	0.0624	0.678	NaN	NaN	NaN	0.0624	1.000
769	HLF	hepatic leukemia factor	857834	4	4	3	1	3	0	1	0	0	0	0.0308	0.612	0.178	0.606	0.371	0.0625	1.000
770	ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7	1128395	5	5	5	0	0	1	1	2	1	0	0.0769	0.358	0.633	0.0392	0.149	0.0626	1.000
771	COL9A2	collagen, type IX, alpha 2	1606025	2	2	2	1	0	0	0	1	1	0	0.687	0.884	0.513	0.0169	0.0167	0.0627	1.000
772	REG1B	regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein)	508625	3	3	3	1	1	0	1	0	1	0	0.0115	0.739	0.606	0.859	1.000	0.0627	1.000
773	TRMT2A	tRNA methyltransferase 2 homolog A (S. cerevisiae)	1088976	6	6	6	1	1	2	1	0	2	0	0.0176	0.518	0.600	0.313	0.653	0.0629	1.000
774	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	3143750	12	11	12	1	3	1	1	5	2	0	0.0276	0.155	0.358	0.227	0.417	0.0630	1.000
775	HOXA5	homeobox A5	658023	4	4	4	0	1	1	0	1	1	0	0.0245	0.448	0.270	0.870	0.471	0.0630	1.000
776	BMP2	bone morphogenetic protein 2	976682	3	3	3	0	1	1	0	0	1	0	0.133	0.416	0.0532	0.371	0.0872	0.0635	1.000
777	HIST1H2BK	histone cluster 1, H2bk	376145	3	3	3	1	0	1	2	0	0	0	0.0235	0.598	1.000	0.139	0.497	0.0636	1.000
